location	habitat_type	community	isolate	OD_transferrin	ODrel_transferrin	PVD_transferrin	PVDrel_transferrin	OD_FeCl3	ODrel_FeCl3	OD_dpd	ODrel_dpd	PVDbyOD_tr	PVD_dpd	PVDrel_dpd
Irchel	soil	b	s3b8	0.1865	0.8879	25051.6	0.8458	0.8278	1.1797	0.3591	1.1323	136179.5	33905.3	1.2776
Irchel	soil	b	s3b9	0.7429	3.5374	44009.6	1.4858	0.9657	1.3762	0.3081	0.9713	60147.7	26569.0	1.0011
Irchel	soil	b	s3b10	0.1044	0.4973	1764.2	0.0596	0.5122	0.7299	0.0489	0.1543	16981.1	1298.7	0.0489
Irchel	soil	b	s3b11	0.1317	0.6270	17616.6	0.5948	0.5262	0.7499	0.3718	1.1721	134154.0	13256.3	0.4995
Irchel	soil	b	s3b12	0.1274	0.6068	24467.9	0.8261	0.4914	0.7003	0.0117	0.0368	199247.9	34.7	0.0013
Irchel	soil	b	s3b13	0.2373	1.1301	23210.6	0.7836	0.8969	1.2782	0.4377	1.3800	100903.6	23263.7	0.8766
Irchel	soil	b	s3b14	0.1847	0.8793	31275.9	1.0559	0.8479	1.2084	0.4122	1.2996	169245.1	26630.0	1.0034
Irchel	soil	b	s3b15	0.2680	1.2759	24289.6	0.8200	0.8753	1.2474	0.3812	1.2018	90748.0	23827.3	0.8978
Irchel	soil	b	s3b16	0.1014	0.4830	13914.2	0.4698	0.4994	0.7117	0.1364	0.4301	138102.2	10153.0	0.3826
Irchel	soil	b	s3b17	0.0880	0.4192	4016.9	0.1356	0.6499	0.9262	0.1409	0.4442	45580.9	3267.7	0.1231
